num_figures,avg_jump,jump_std,direction_changes,angle_std,spread_x,spread_y,alignment_x,alignment_y,left_margin,right_margin,top_margin,bottom_margin,mean_x,mean_y,label,image
9,271.4472939581408,92.36945708838331,4,0.8274489098554177,366,1413,129.1072862313537,427.31383210833593,335,540,139,203,471.44444444444446,730.6666666666666,Organized Sequence,30.jpg
11,472.0429857370547,275.5560190169083,6,1.1881192935824971,1123,966,358.6163953422438,302.3241378016658,246,386,121,154,790.0909090909091,638.5454545454545,Disorganized Sequence,31.jpg
9,769.7513838180053,237.47748758622583,5,1.3946199079196182,1249,831,438.6718450668119,266.218558683752,195,311,185,225,786.1111111111111,660.1111111111111,Confused Sequence,32.jpg
9,315.23734142460114,69.48322510901076,7,1.0660651007367778,427,1150,151.44741987783854,378.13048894087694,233,581,194,411,470.1111111111111,631.6666666666666,Disorganized Sequence,33.jpg
9,328.7208328455397,135.88732116476044,7,1.1089946360672143,526,1126,170.68424388651434,328.999193214516,322,393,231,398,611.0,718.4444444444445,Organized Sequence,34.jpg
10,217.71832541842858,111.22528539108623,7,0.6431586320466796,279,1444,97.28185853487793,467.9258915683124,694,268,215,96,841.2,856.6,Fixed Sequence,35.jpg
9,171.55935256268748,48.66095506945477,2,0.2908355306273339,110,1325,33.102534310499216,429.07819656262205,903,228,188,242,968.3333333333334,782.8888888888889,Fixed Sequence,36.jpg
9,304.9316600121515,148.04537386299387,4,0.9249739123235283,667,1179,181.28825692461558,405.37511967845415,333,241,241,335,603.8888888888889,825.8888888888889,Organized Sequence,37.jpg
9,551.9115362952916,279.40858273176036,4,1.2901815127598528,1048,682,365.7953620722661,226.6046211377598,248,459,231,328,631.5555555555555,561.8888888888889,Organized Sequence,38.jpg
10,348.5300915413792,134.17193679563235,6,1.1356748010638416,745,1273,210.0015238039953,380.46036587271476,198,298,105,377,447.4,666.1,Organized Sequence,39.jpg
9,411.717771513684,209.15658397431787,4,1.1962930103963214,979,739,319.3569928604803,230.01567311064525,458,318,219,283,809.0,520.1111111111111,Disorganized Sequence,4.jpg
10,601.2413866873053,297.72380086414455,5,1.4318632983556896,1252,576,416.93602626781967,208.7346641073303,205,298,125,540,716.5,360.8,Fixed Sequence,40.jpg
9,591.7548915532814,316.5093179082791,5,1.4013601785304801,1201,474,410.2766004647217,168.97760827626078,208,346,130,637,749.0,354.8888888888889,Disorganized Sequence,41.jpg
11,238.53853880076775,134.8019491950862,6,0.900131862887453,549,1205,169.18062136257836,409.01708424784846,229,463,289,261,452.90909090909093,858.5454545454545,Disorganized Sequence,42.jpg
9,281.2039145870026,88.81502362182746,3,0.9163463557484206,642,1266,194.2009904489625,419.2543056898834,163,436,202,287,426.44444444444446,861.7777777777778,Organized Sequence,43.jpg
9,338.0089707721179,138.2621990190145,3,0.9314400128133457,691,1437,215.5475943547011,466.4799626517259,233,317,136,182,565.1111111111111,809.0,Organized Sequence,44.jpg
10,325.4484081472564,139.38396317357444,7,1.1574692655246732,501,907,198.25864419994403,285.22524432455134,217,523,140,708,459.9,509.4,Organized Sequence,45.jpg
10,411.9907710852339,122.21494765159974,8,1.1027163730917826,667,1460,201.72577921525055,422.849098379079,358,216,123,172,641.1,790.8,Disorganized Sequence,46.jpg
9,309.43008214330416,65.21138140530398,3,1.0581083625294319,664,1289,220.5266423813685,404.8998351978053,278,299,134,332,568.3333333333334,634.1111111111111,Organized Sequence,47.jpg
10,416.0581359036177,192.8101103664377,7,1.218513365699937,747,1087,261.51795349459275,379.51553327894237,202,292,161,507,584.6,586.6,Organized Sequence,48.jpg
12,464.3837735955962,217.02719122313894,8,1.297725432040682,872,1002,280.6205425283204,284.51225320225177,128,241,97,656,540.6666666666666,406.3333333333333,Disorganized Sequence,49.jpg
9,387.6469956813893,114.88116355257279,6,1.1608710679278984,532,1104,202.52888835246185,333.6708291448658,419,290,223,428,710.2222222222222,672.6666666666666,Disorganized Sequence,5.jpg
10,422.7935877620375,211.14587883097397,5,1.2499233284741884,848,726,293.6815281899766,256.2027517416626,159,234,132,897,573.6,425.5,Fixed Sequence,50.jpg
14,308.69741439726357,202.4964923680586,8,1.1366908972712941,829,1393,260.2692189378733,425.9683865341777,186,226,153,209,603.0714285714286,785.9285714285714,Confused Sequence,51.jpg
10,335.2591178272008,161.37255557096708,6,1.0314845496445841,588,1183,195.27979926249412,371.40764666333945,385,268,207,365,596.0,687.4,Disorganized Sequence,52.jpg
9,584.1400134701685,308.8813601742122,5,1.3059285609513842,1040,745,358.06096453116425,237.1127772512533,314,401,285,211,656.8888888888889,583.4444444444445,Disorganized Sequence,53.jpg
10,589.3855879081322,174.59561496837594,7,1.2521870842471952,795,1415,311.8252876211293,511.306014046383,184,262,135,205,562.3,693.6,Organized Sequence,54.jpg
10,459.0356972340663,160.49404903592452,7,1.2553967091489533,766,1122,265.4878528294656,357.9190411252243,288,187,180,453,626.0,626.6,Disorganized Sequence,55.jpg
9,464.9753307629086,248.62962772349513,5,1.3087481106137169,843,776,298.42094720108884,239.4661243085502,193,205,161,818,596.7777777777778,520.4444444444445,Confused Sequence,56.jpg
9,490.2095031308596,129.304458701917,7,1.3594457281788004,710,814,249.50885087841405,262.32540342854827,241,290,245,696,545.3333333333334,569.2222222222222,Organized Sequence,57.jpg
13,257.99525184956514,175.18618673593946,7,1.0088858726999104,644,1381,202.04030296866176,393.05780474355487,365,232,198,176,633.8461538461538,776.8461538461538,Confused Sequence,58.jpg
9,378.8601363407252,183.5418810296089,5,1.2774654607944653,805,553,267.1641193473904,202.57344347174435,220,216,133,1069,620.3333333333334,351.0,Disorganized Sequence,59.jpg
9,462.64306573274894,189.544239504669,6,1.1310851438176683,797,1293,259.8856348663322,448.74937325861526,190,254,344,118,610.8888888888889,1103.6666666666667,Confused Sequence,6.jpg
9,420.4087861480958,88.72050230631365,6,1.1736442646654708,574,1101,227.7463392938038,407.50690367552045,351,316,168,486,640.2222222222222,650.8888888888889,Disorganized Sequence,60.jpg
8,382.6066331705517,101.66341509206056,6,1.022663747072784,528,1268,170.0044117074613,425.0604184995352,268,445,259,228,466.5,1013.125,Disorganized Sequence,61.jpg
9,353.3126271084177,147.38236843580782,5,0.9752837388707518,620,1382,182.23821068068784,431.7720020200419,293,328,153,220,612.1111111111111,822.7777777777778,Disorganized Sequence,62.jpg
10,612.8255874864594,230.2817583109109,7,1.288470220735666,855,988,343.03521685098167,299.8631187725493,135,251,76,691,558.8,479.9,Disorganized Sequence,63.jpg
10,362.8764404628619,75.26265165924463,7,1.1590524693238455,484,1256,182.83752350105817,418.32959493681534,337,420,172,327,562.8,597.5,Disorganized Sequence,64.jpg
11,258.74878936704863,153.66738105755135,8,1.0339571955819613,531,1393,154.9118651053341,438.60462438160135,388,322,221,141,664.3636363636364,817.2727272727273,Disorganized Sequence,65.jpg
9,396.2499398755589,130.73345076381915,6,1.2207089105604287,570,878,204.12729023157084,274.30833331926874,240,431,294,583,519.2222222222222,610.7777777777778,Disorganized Sequence,66.jpg
10,291.2544173598444,154.40882938031677,6,0.8869954583777466,601,1347,187.01219211591527,448.9888751405763,294,346,208,200,572.8,800.7,Organized Sequence,67.jpg
9,476.54178688101535,214.15251657696888,7,1.3820519048014535,801,600,293.300797858941,215.32972133193525,288,152,192,963,698.4444444444445,459.6666666666667,Disorganized Sequence,68.jpg
10,450.900519764157,156.43191329979726,7,1.2385899872369641,635,1381,241.27911223311477,520.0036153720472,209,397,181,193,528.3,866.2,Confused Sequence,69.jpg
9,432.94021550710784,73.59700942741473,4,1.1928864777232628,762,1313,251.2364977024194,398.7972968195964,183,296,176,266,590.6666666666666,974.7777777777778,Confused Sequence,7.jpg
10,373.76085865958817,120.03072977201685,5,1.3151440944802597,617,692,238.06881358128368,249.85443762318891,305,319,174,889,597.2,444.4,Organized Sequence,70.jpg
11,361.74798323167374,217.7599518456428,5,1.2823367393085354,698,628,258.9395730268721,226.46584038106968,221,322,139,988,593.4545454545455,389.3636363636364,Organized Sequence,71.jpg
11,431.5610088764016,146.09550170207993,6,1.196333605934824,873,1156,269.67286579382534,377.89256858058184,98,270,111,488,494.0,642.5454545454545,Confused Sequence,72.jpg
10,345.76917867636257,160.11248674231177,6,1.1528253210738761,620,1157,200.19403088004398,338.69921759578955,327,294,185,413,649.5,772.8,Disorganized Sequence,73.jpg
11,365.5853168676525,208.44393992337152,6,1.2231701633780094,697,1035,280.3562963312256,327.3819009824903,239,305,307,413,529.2727272727273,648.0,Organized Sequence,74.jpg
9,604.5762010213925,190.0762798419116,6,1.262996523539837,776,1087,322.12297322069907,354.7114633363605,276,189,157,511,620.8888888888889,560.0,Organized Sequence,75.jpg
9,560.4092997792433,129.47216581543026,6,1.2700341764569507,753,1226,285.784473742187,380.36671713778117,216,272,147,382,611.8888888888889,592.7777777777778,Organized Sequence,76.jpg
10,420.32296661432713,191.39703748687816,5,1.1387685182712801,630,1233,228.4591867270826,378.7292436556755,309,302,217,305,637.0,719.4,Disorganized Sequence,77.jpg
9,434.20081405167286,180.80833243206635,4,1.2565061743132764,716,622,287.58255926787655,210.47236703175696,230,295,164,969,597.7777777777778,465.22222222222223,Organized Sequence,78.jpg
8,339.27111454973675,143.16812086557331,3,1.0923903276901654,641,986,226.52041850570558,304.87774189008945,208,392,121,648,463.0,446.75,Confused Sequence,79.jpg
9,198.86562224040014,54.23987731308458,2,0.29748422174670297,349,1485,94.65727652959386,477.31820273970976,197,695,108,162,384.3333333333333,850.0,Fixed Sequence,8.jpg
9,387.89121571190924,71.58669410956959,7,1.118341044408128,545,1292,193.13150384589713,376.28476214460534,333,363,191,272,562.0,768.0,Disorganized Sequence,80.jpg
11,519.2598086894731,209.0867070852948,8,1.2576880635498056,729,1447,283.79412861794117,494.3438927482777,198,314,120,188,493.72727272727275,625.5454545454545,Confused Sequence,81.jpg
9,475.4501804281688,173.18631854399393,5,1.2039527056357955,747,1052,279.9765863226582,332.8436403011013,239,255,260,443,645.0,655.3333333333334,Disorganized Sequence,82.jpg
10,286.52509478324674,140.56051703213228,6,0.9348249396244876,470,1378,178.62541812407326,418.8342034743581,287,484,142,235,470.4,818.9,Organized Sequence,83.jpg
10,628.8897158905293,241.82122120464803,4,1.3296492934272033,1211,897,446.13877885698304,322.2719503773172,203,341,126,218,772.3,494.3,Fixed Sequence,84.jpg
9,505.5054104252188,150.37587915231316,5,1.2178531789092473,713,1157,285.6658671495791,358.2554781916405,209,319,204,394,639.8888888888889,668.8888888888889,Fixed Sequence,85.jpg
10,414.15970501209245,161.87431636875596,5,1.1533872374676863,706,1161,253.80348697368206,361.3038056815898,220,315,367,227,534.7,824.6,Disorganized Sequence,86.jpg
10,412.8878204158969,217.7166430043854,5,1.2040435707809791,822,805,283.40298163569133,277.50583777643305,286,647,168,268,637.5,500.1,Organized Sequence,87.jpg
10,411.1943459413828,198.3915569419183,6,1.0947647150930009,647,1227,248.3867951401604,363.37095370984184,311,283,196,332,747.0,711.5,Fixed Sequence,88.jpg
9,459.0679712128064,170.71166570143333,5,1.145933399219886,784,1334,252.66402813046244,390.62716271006246,166,291,160,261,534.3333333333334,719.4444444444445,Disorganized Sequence,89.jpg
10,508.10127561223794,228.9693922997252,6,1.2693545498497432,982,1186,288.9908130027666,398.9423642582973,182,77,394,175,595.1,914.3,Confused Sequence,9.jpg
